Using device: cuda
Total samples: 4899
Epoch 2 | Step 180/2449 | Loss: 0.037266 (Chamfer=0.015651, Repulse=0.216098, Smooth=0.000121)
Epoch 2 | Step 200/2449 | Loss: 0.028917 (Chamfer=0.009344, Repulse=0.195667, Smooth=0.000123)
Epoch 2 | Step 220/2449 | Loss: 0.032070 (Chamfer=0.007259, Repulse=0.248048, Smooth=0.000130)
Epoch 2 | Step 240/2449 | Loss: 0.033241 (Chamfer=0.010218, Repulse=0.230173, Smooth=0.000110)
Epoch 2 | Step 260/2449 | Loss: 0.031212 (Chamfer=0.007574, Repulse=0.236304, Smooth=0.000149)
Epoch 2 | Step 280/2449 | Loss: 0.043214 (Chamfer=0.018404, Repulse=0.248042, Smooth=0.000126)
Epoch 2 | Step 300/2449 | Loss: 0.035036 (Chamfer=0.012728, Repulse=0.223020, Smooth=0.000114)
Epoch 2 | Step 320/2449 | Loss: 0.027603 (Chamfer=0.009038, Repulse=0.185604, Smooth=0.000103)
Epoch 2 | Step 340/2449 | Loss: 0.029554 (Chamfer=0.010865, Repulse=0.186822, Smooth=0.000125)
Epoch 2 | Step 360/2449 | Loss: 0.039802 (Chamfer=0.014943, Repulse=0.248541, Smooth=0.000110)
Epoch 2 | Step 380/2449 | Loss: 0.026493 (Chamfer=0.008433, Repulse=0.180546, Smooth=0.000115)
Epoch 2 | Step 400/2449 | Loss: 0.035395 (Chamfer=0.010018, Repulse=0.253707, Smooth=0.000115)
Epoch 2 | Step 420/2449 | Loss: 0.025272 (Chamfer=0.006252, Repulse=0.190143, Smooth=0.000108)
Epoch 2 | Step 440/2449 | Loss: 0.032211 (Chamfer=0.008297, Repulse=0.239090, Smooth=0.000110)
Epoch 2 | Step 460/2449 | Loss: 0.037667 (Chamfer=0.011492, Repulse=0.261685, Smooth=0.000132)
Epoch 2 | Step 480/2449 | Loss: 0.033729 (Chamfer=0.008818, Repulse=0.249026, Smooth=0.000171)
Epoch 2 | Step 500/2449 | Loss: 0.032247 (Chamfer=0.007568, Repulse=0.246723, Smooth=0.000131)
Epoch 2 | Step 520/2449 | Loss: 0.030374 (Chamfer=0.009998, Repulse=0.203686, Smooth=0.000148)
Epoch 2 | Step 540/2449 | Loss: 0.031798 (Chamfer=0.007964, Repulse=0.238279, Smooth=0.000118)
Epoch 2 | Step 560/2449 | Loss: 0.029082 (Chamfer=0.008440, Repulse=0.206341, Smooth=0.000145)
Epoch 2 | Step 580/2449 | Loss: 0.040611 (Chamfer=0.011426, Repulse=0.291776, Smooth=0.000150)
Epoch 2 | Step 600/2449 | Loss: 0.036628 (Chamfer=0.011217, Repulse=0.254039, Smooth=0.000140)
Epoch 2 | Step 620/2449 | Loss: 0.036543 (Chamfer=0.011900, Repulse=0.246364, Smooth=0.000130)
Epoch 2 | Step 640/2449 | Loss: 0.032096 (Chamfer=0.007276, Repulse=0.248108, Smooth=0.000183)
Epoch 2 | Step 660/2449 | Loss: 0.037747 (Chamfer=0.009752, Repulse=0.279891, Smooth=0.000110)
Epoch 2 | Step 680/2449 | Loss: 0.036620 (Chamfer=0.011187, Repulse=0.254271, Smooth=0.000129)
Epoch 2 | Step 700/2449 | Loss: 0.028213 (Chamfer=0.005072, Repulse=0.231335, Smooth=0.000149)
Epoch 2 | Step 720/2449 | Loss: 0.037526 (Chamfer=0.009408, Repulse=0.281105, Smooth=0.000142)
Epoch 2 | Step 740/2449 | Loss: 0.047551 (Chamfer=0.014861, Repulse=0.326828, Smooth=0.000149)
Epoch 2 | Step 760/2449 | Loss: 0.050478 (Chamfer=0.019480, Repulse=0.309932, Smooth=0.000100)
Epoch 2 | Step 780/2449 | Loss: 0.041075 (Chamfer=0.010303, Repulse=0.307651, Smooth=0.000138)
Epoch 2 | Step 800/2449 | Loss: 0.034880 (Chamfer=0.008757, Repulse=0.261168, Smooth=0.000115)
Epoch 2 | Step 820/2449 | Loss: 0.038827 (Chamfer=0.009309, Repulse=0.295104, Smooth=0.000156)
Epoch 2 | Step 840/2449 | Loss: 0.029560 (Chamfer=0.005062, Repulse=0.244913, Smooth=0.000139)
Epoch 2 | Step 860/2449 | Loss: 0.037337 (Chamfer=0.006552, Repulse=0.307785, Smooth=0.000114)
Epoch 2 | Step 880/2449 | Loss: 0.036695 (Chamfer=0.012005, Repulse=0.246833, Smooth=0.000126)
Epoch 2 | Step 900/2449 | Loss: 0.031601 (Chamfer=0.006455, Repulse=0.251397, Smooth=0.000135)
Epoch 2 | Step 920/2449 | Loss: 0.034093 (Chamfer=0.013838, Repulse=0.202477, Smooth=0.000142)
Epoch 2 | Step 940/2449 | Loss: 0.031723 (Chamfer=0.007636, Repulse=0.240811, Smooth=0.000114)
Epoch 2 | Step 960/2449 | Loss: 0.036222 (Chamfer=0.009206, Repulse=0.270100, Smooth=0.000123)
Epoch 2 | Step 980/2449 | Loss: 0.045973 (Chamfer=0.015777, Repulse=0.301904, Smooth=0.000113)
Epoch 2 | Step 1000/2449 | Loss: 0.030939 (Chamfer=0.011587, Repulse=0.193440, Smooth=0.000161)
Epoch 2 | Step 1020/2449 | Loss: 0.032318 (Chamfer=0.008653, Repulse=0.236595, Smooth=0.000095)
Epoch 2 | Step 1040/2449 | Loss: 0.039409 (Chamfer=0.007959, Repulse=0.314449, Smooth=0.000105)
